incident nummer,Incident categorie,totale minuten open,Prioriteit incident
1065298,2e lijns (Doorgezette incidenten),19902,E8
1124826,Hardware / Werkplekbeheer,133,E8
1156332,2e lijns (Doorgezette incidenten),1270,E8
1183663,Functioneel beheer,327156,E8
1183923,Functioneel beheer,327159,E8
1183923,Functioneel beheer,327174,E8
1188361,Functioneel beheer,290961,E8
1188362,Functioneel beheer,2,E8
1188362,Functioneel beheer,290930,E8
1188366,2e lijns (Doorgezette incidenten),36,E8
1188366,Functioneel beheer,290930,E8
1188368,Functioneel beheer,290925,E8
1188368,Hardware / Werkplekbeheer,303,E8
1188370,Functioneel beheer,290895,E8
1188370,Hardware / Werkplekbeheer,141,E8
1188371,Functioneel beheer,290862,E8
1188371,Hardware / Werkplekbeheer,171,E8
1188372,Functioneel beheer,290861,E8
1188373,2e lijns (Doorgezette incidenten),195,E8
1188373,Functioneel beheer,290860,E8
1188376,Functioneel beheer,290856,E8
1188376,Hardware / Werkplekbeheer,287,E8
1188379,Functioneel beheer,290847,E8
1188379,Hardware / Werkplekbeheer,164,E8
1188382,Functioneel beheer,290844,E8
1188382,Hardware / Werkplekbeheer,6,E8
1188386,Functioneel beheer,290841,E8
1188386,Hardware / Werkplekbeheer,122,E8
1188391,Functioneel beheer,290833,E8
1188391,Hardware / Werkplekbeheer,153,E8
1188392,Functioneel beheer,290834,E8
1188392,Hardware / Werkplekbeheer,109,E8
1188393,Functioneel beheer,290835,E8
1188393,Hardware / Werkplekbeheer,23,E8
1188395,Functioneel beheer,290829,E8
1188395,Hardware / Werkplekbeheer,134,E8
1188396,3e lijns (Technische incidenten),336,E8
1188396,Functioneel beheer,290830,E8
1188398,Functioneel beheer,336,E8
1188398,Functioneel beheer,290829,E8
1188401,Functioneel beheer,193,EW
1188401,Functioneel beheer,290821,E8
1188402,3e lijns (Technische incidenten),395,E8
1188402,Functioneel beheer,290819,EW
1188403,3e lijns (Technische incidenten),392,E8
1188403,Functioneel beheer,290808,EW
1188404,Functioneel beheer,290800,EW
1188404,Hardware / Werkplekbeheer,405,EW
1188405,Functioneel beheer,149,E8
1188405,Functioneel beheer,290797,E8
1188406,Functioneel beheer,290800,E8
1188406,Hardware / Werkplekbeheer,399,EW
1188407,Functioneel beheer,290800,E8
1188407,Hardware / Werkplekbeheer,124,E8
1188408,Functioneel beheer,290795,E8
1188408,Hardware / Werkplekbeheer,71,E8
1188409,Functioneel beheer,76720,B4
1188410,1e lijns beheer (Helpdesk),27,E8
1188410,Functioneel beheer,76680,E8
1188412,2e lijns (Doorgezette incidenten),1,E8
1188412,Functioneel beheer,76674,E8
1188413,Functioneel beheer,76675,E8
1188414,3e lijns (Technische incidenten),76755,EW
1188418,Functioneel beheer,76724,EW
1188420,2e lijns (Doorgezette incidenten),1,E8
1188420,Functioneel beheer,76663,E8
1188423,Functioneel beheer,8,E8
1188423,Functioneel beheer,76603,E8
1188429,Functioneel beheer,7,E8
1188429,Functioneel beheer,18796,EW
1188430,1e lijns beheer (Helpdesk),5,E8
1188430,3e lijns (Technische incidenten),17372,E8
1188431,2e lijns (Doorgezette incidenten),63,E8
1188431,Functioneel beheer,5885,E8
1188432,1e lijns beheer (Helpdesk),1,E8
1188432,3e lijns (Technische incidenten),6093,E8
1188435,Hardware / Werkplekbeheer,66,E8
1188435,Hardware / Werkplekbeheer,5781,EW
1188436,Functioneel beheer,174355,E8
1188438,Hardware / Werkplekbeheer,60,E8
1188439,Telefonie / Communicatie,3,E8
1188440,2e lijns (Doorgezette incidenten),23,E8
1188442,2e lijns (Doorgezette incidenten),1,E8
1188443,Hardware / Werkplekbeheer,20,E8
1188445,2e lijns (Doorgezette incidenten),6,E8
1188447,Functioneel beheer,10,E8
1188452,Functioneel beheer,22,E8
1188459,2e lijns (Doorgezette incidenten),7,E8
1188460,2e lijns (Doorgezette incidenten),2,E8
1188463,Functioneel beheer,2,E8
1188464,2e lijns (Doorgezette incidenten),3,E8
1188466,Functioneel beheer,3,E8
1188468,2e lijns (Doorgezette incidenten),1,E8
1188469,Functioneel beheer,2,E8
1188470,2e lijns (Doorgezette incidenten),1,E8
1188471,2e lijns (Doorgezette incidenten),285,E8
1188474,Functioneel beheer,3,E8
1188475,Functioneel beheer,4,E8
1188478,2e lijns (Doorgezette incidenten),3,E8
1188480,2e lijns (Doorgezette incidenten),1,E8
1188481,2e lijns (Doorgezette incidenten),5,E8
1188483,Hardware / Werkplekbeheer,6005,E8
1188485,2e lijns (Doorgezette incidenten),1,E8
1188487,Hardware / Werkplekbeheer,46,E8
1188495,2e lijns (Doorgezette incidenten),16,E8
1188497,Functioneel beheer,10058,E8
1188498,Functioneel beheer,9945,E8
1188498,Hardware / Werkplekbeheer,162,E8
1188499,Functioneel beheer,2,E8
1188499,Hardware / Werkplekbeheer,9904,E8
1188501,2e lijns (Doorgezette incidenten),3,E8
1188501,Hardware / Werkplekbeheer,9900,B3
1188502,Functioneel beheer,2,E8
1188503,Hardware / Werkplekbeheer,64,E4
1188507,Telefonie / Communicatie,52,E8
1188508,2e lijns (Doorgezette incidenten),18,E8
1188510,1e lijns beheer (Helpdesk),1,E8
1188511,2e lijns (Doorgezette incidenten),75,E8
1188516,2e lijns (Doorgezette incidenten),6941,E8
1188517,2e lijns (Doorgezette incidenten),48,E8
1188518,Telefonie / Communicatie,236,E8
1188519,2e lijns (Doorgezette incidenten),37,E8
1188521,Hardware / Werkplekbeheer,6964,E8
1188523,2e lijns (Doorgezette incidenten),10,E8
1188524,2e lijns (Doorgezette incidenten),87770,EW
1188525,2e lijns (Doorgezette incidenten),1,E8
1188526,2e lijns (Doorgezette incidenten),4,E8
1188527,1e lijns beheer (Helpdesk),72,E8
1188529,Hardware / Werkplekbeheer,65,E8
1188530,2e lijns (Doorgezette incidenten),111,E8
1188531,2e lijns (Doorgezette incidenten),3,E8
1188535,2e lijns (Doorgezette incidenten),5,E8
1188537,2e lijns (Doorgezette incidenten),2,E8
1188540,2e lijns (Doorgezette incidenten),21,E8
1188541,2e lijns (Doorgezette incidenten),1,E8
1188543,Functioneel beheer,1,E8
1188544,2e lijns (Doorgezette incidenten),7,E8
1188547,1e lijns beheer (Helpdesk),7,E8
1188548,2e lijns (Doorgezette incidenten),7,E8
1188549,2e lijns (Doorgezette incidenten),13,E8
1188551,Functioneel beheer,1,E8
1188553,Telefonie / Communicatie,66,E8
